,Message,Favourite Count,Retweet Count,Created At,Source,Username
109,"I’m a big fan of everything Jared Diamond has written, and his latest book, “Upheaval,” is no exception. You can do… https://t.co/91I0F5Tcur",2750,357,2019-05-23 12:00:01,Sprinklr,Bill Gates
110,"This #RedNoseDay, I’m swapping out my usual summer books for something a little different. Learn how you can help e… https://t.co/h0w9I6C890",6565,675,2019-05-22 20:31:01,Sprinklr,Bill Gates
111,"Whether you’re a political leader or just an armchair historian, you’ll learn a lot from @BeschlossDC's book “Presi… https://t.co/wdl4Roovad",3739,473,2019-05-21 16:42:55,Sprinklr,Bill Gates
112,This book will take you on a trip you’ll never forget: https://t.co/l4IvTS9AHD https://t.co/mNkg6G9lof,5042,586,2019-05-20 22:59:06,Sprinklr,Bill Gates
113,Looking for a summer read? You can’t go wrong with one of these great books: https://t.co/xB82XMnJY9,8265,1371,2019-05-20 17:47:30,Sprinklr,Bill Gates
114,"This is great news: wind and solar power generation is expanding at record rates, allowing more people to get their… https://t.co/Gp976XiPiE",7639,1727,2019-05-20 00:43:01,Sprinklr,Bill Gates
115,"Together, we can achieve what @Rotary first envisioned: a world where no child will be struck with polio ever again… https://t.co/rRoWJGvCco",5013,684,2019-05-19 12:21:00,Sprinklr,Bill Gates
116,Nearly every job created since the last recession has gone to someone with a post-high school education. But which… https://t.co/uz6GUviXiQ,5236,872,2019-05-17 14:47:15,Twitter Media Studio,Bill Gates
117,"A college degree is the surest path to a healthy, rewarding life and career. But which degrees and programs provide… https://t.co/4TDvrYiXTo",2543,538,2019-05-16 19:21:17,Twitter Web Client,Bill Gates
118,Everyone at the @gatesfoundation looks forward to days when our trustee Warren is on campus. @melindagates and I co… https://t.co/HONCGF2FBm,10480,697,2019-05-15 21:12:05,Twitter Web Client,Bill Gates
119,It is surprisingly hard to store renewable energy. Here are three startups I’m excited about that are tackling this… https://t.co/vMdkkX3VqI,4665,895,2019-05-15 18:20:53,Twitter Media Studio,Bill Gates
120,It’s easy to be overwhelmed by climate change and what to do about it. I recently wrote about why I’m optimistic we… https://t.co/eCdEevDcYi,4393,723,2019-05-15 00:08:26,Sprinklr,Bill Gates
121,"A fascinating discussion with computer scientist @drfeifei, historian @harari_yuval, and journalist @nxthompson on… https://t.co/6ESu0FY2gr",4412,951,2019-05-13 16:08:37,Sprinklr,Bill Gates
122,"My mom was one of the most generous people I’ve ever known. If I grew up #WithoutMom, I wouldn’t be the man I am to… https://t.co/T3j1O0ew6P",11616,1589,2019-05-12 22:09:07,Twitter Web Client,Bill Gates
123,All my life I’ve been surrounded by remarkable women. And I was moved when Melinda decided to write about two of th… https://t.co/2V6tXgdaNW,22467,1375,2019-05-12 14:52:29,Sprinklr,Bill Gates
124,This fascinating #dataviz looks at how the global population pyramid is changing. With the right investments in hea… https://t.co/7DipZ0ML8S,4394,1007,2019-05-11 17:31:12,Sprinklr,Bill Gates
125,I was touched when Melinda asked me to introduce her at her #MomentofLift book tour stop in Seattle tonight. I want… https://t.co/FyAZWcinnV,13170,1984,2019-05-10 02:56:04,Twitter Media Studio,Bill Gates
126,2018 National Teacher of the Year @MandyRheaWrites told me about the remarkable resilience of her students. I was i… https://t.co/1rXKoqOAE4,3703,325,2019-05-09 16:33:47,Twitter Web Client,Bill Gates
127,I really enjoyed spending time with 2017 WA State Teacher of the Year @farmtableteach. She showed me a neat lesson… https://t.co/HKcPtOifwd,4977,841,2019-05-08 14:29:43,Twitter Media Studio,Bill Gates
128,"For Teacher Appreciation Week, I’ll be highlighting some of the most impactful lessons I’ve learned from educators… https://t.co/PyrDhqvtMB",3296,357,2019-05-07 21:45:00,Sprinklr,Bill Gates
129,"RT @GatesUS: No one has more insight than teachers into what makes a classroom tick, or how to reach &amp; inspire a struggling student. 

Happ…",0,174,2019-05-07 21:24:03,Twitter Web Client,Bill Gates
130,I’ve learned a lot from the career of this real-life Sherlock Holmes: https://t.co/LhCRp52KgN https://t.co/0GnuegjFep,3756,489,2019-05-06 18:34:51,Twitter Media Studio,Bill Gates
131,Melinda and I love meeting with people who are trying to change the world. Here are four of the people who inspired… https://t.co/MrmYszRNMG,5915,654,2019-05-04 19:43:24,Sprinklr,Bill Gates
132,What does a “dirt detective” do for a living? I’m eager to watch this talk from soil scientist Asmeret Asefaw Berhe… https://t.co/Rw3GrZ1V3q,4994,984,2019-05-03 13:50:51,Sprinklr,Bill Gates
133,"A few months ago, Fred contributed a piece to my blog which outlined why educating the next generation of African l… https://t.co/jPqGy5OhR3",2506,343,2019-05-02 21:58:14,Twitter Web Client,Bill Gates
134,"By the end of the century, almost half of the young people in the world will be in sub-Saharan Africa. https://t.co/ZiBfAgjpxx",4057,792,2019-05-02 21:58:14,Twitter Web Client,Bill Gates
135,.@FredSwaniker has an ambitious plan to unlock the talents of young Africans. I was thrilled to see him featured in… https://t.co/M411GHFCxL,4173,610,2019-05-02 21:58:13,Twitter Web Client,Bill Gates
136,It’s hard for me to overstate how brave people who fight outbreaks are. They face a near-impossible task with grace… https://t.co/C5HYQuTOlR,4375,527,2019-05-02 15:47:01,Sprinklr,Bill Gates
137,Congratulations @SueDHellmann on your 5th anniversary @gatesfoundation. Your leadership on some of the world’s toug… https://t.co/oNvoClCO3i,2943,239,2019-05-01 23:08:51,Twitter Web Client,Bill Gates
138,The world’s historic progress to #endpolio would not be possible without the strong commitment of partners like… https://t.co/pCePwNoI0U,2761,600,2019-05-01 16:30:01,Sprinklr,Bill Gates
139,"If you enjoyed the @Avengers this weekend, I think you’ll be inspired by these real-life heroes:… https://t.co/UISSYrSC1a",5848,1108,2019-04-30 16:31:51,Twitter Media Studio,Bill Gates
140,"It’s amazing to think about the creative ways we’ve delivered vaccines over the years (even by dog sled, when neces… https://t.co/im8i1Ujhel",7751,1567,2019-04-30 01:28:28,Sprinklr,Bill Gates
141,The promise and perils of gene-editing might be the most important public debate we haven’t been having widely enou… https://t.co/e1LcPvW28E,5586,1182,2019-04-28 16:10:00,Sprinklr,Bill Gates
142,"One of my favorite authors, @sapinker, co-wrote a piece about why nuclear power is so important in fighting climate… https://t.co/pKWclbfZcA",7199,2232,2019-04-26 13:48:13,Sprinklr,Bill Gates
143,Deaths from malaria have dropped 42% since 2000. I’m as optimistic as ever that we can get to zero deaths in our ge… https://t.co/tiimK3witk,7804,1430,2019-04-25 13:52:45,Twitter Media Studio,Bill Gates
144,Stories like this one from Kenya remind me of why Melinda and I started our foundation. I'm optimistic we will cont… https://t.co/XAm4jQgsVA,7266,1212,2019-04-24 11:54:00,Twitter Media Studio,Bill Gates
145,"Melinda’s new book, The #MomentofLift, is out today: https://t.co/sC4eE1Jy8N.

She combines her mastery of data wit… https://t.co/Gbz9r4Ts8U",8174,819,2019-04-23 14:04:43,Twitter Web Client,Bill Gates
146,"On #EarthDay, I’m inspired by the inventors who are tackling climate change and all the people who are supporting t… https://t.co/bw0imff81U",10088,2189,2019-04-22 14:25:47,Twitter Media Studio,Bill Gates
147,Melinda’s new book The #MomentofLift is an urgent call to action. I’ll commit to the lift by working to ensure that… https://t.co/RW2elIYTC5,3272,452,2019-04-20 18:55:52,Twitter Web Client,Bill Gates
148,Gene drive is a technique where you give a few mosquitoes an edited gene and it drives itself into all their offspr… https://t.co/DODBKVfYRE,4593,891,2019-04-20 15:40:57,Sprinklr,Bill Gates
149,"Less than a century ago, families everywhere lived in fear of a mosquito bite. Now 75% of all malaria cases occur i… https://t.co/3UlIb4iuwe",8073,1725,2019-04-19 21:00:00,Sprinklr,Bill Gates
150,3: Which of the following factors affect the spread of malaria? The answer is in my latest blog post: https://t.co/Vv1rQ79zSJ,1416,224,2019-04-19 14:22:50,Twitter Web Client,Bill Gates
151,2: What kind of pathogen causes malaria? Find the answer here: https://t.co/tUPDUDpfK7,1351,232,2019-04-19 14:22:49,Twitter Web Client,Bill Gates
